icd_code,count,long_title
3E033VJ,1680,"Introduction of Other Hormone into Peripheral Vein, Percutaneous Approach"
00B70ZZ,408,"Excision of Cerebral Hemisphere, Open Approach"
9390,1047,Non-invasive mechanical ventilation
9672,4259,Continuous invasive mechanical ventilation for 96 consecutive hours or more
9604,6490,Insertion of endotracheal tube
3891,3643,Arterial catheterization
0DJD8ZZ,2827,"Inspection of Lower Intestinal Tract, Via Natural or Artificial Opening Endoscopic"
9671,7382,Continuous invasive mechanical ventilation for less than 96 consecutive hours
3409,377,Other incision of pleura
3324,4388,Closed [endoscopic] biopsy of bronchus
9915,3488,Parenteral infusion of concentrated nutritional substances
966,8165,Enteral infusion of concentrated nutritional substances
7915,437,"Closed reduction of fracture with internal fixation, femur"
0YU60JZ,44,"Supplement Left Inguinal Region with Synthetic Substitute, Open Approach"
5A02210,520,"Assistance with Cardiac Output using Balloon Pump, Continuous"
4A023N6,1776,"Measurement of Cardiac Sampling and Pressure, Right Heart, Percutaneous Approach"
3E1K78Z,30,"Irrigation of Genitourinary Tract using Irrigating Substance, Via Natural or Artificial Opening"
3E0P7GC,539,"Introduction of Other Therapeutic Substance into Female Reproductive, Via Natural or Artificial Opening"
10E0XZZ,5819,"Delivery of Products of Conception, External Approach"
0KQM0ZZ,2741,"Repair Perineum Muscle, Open Approach"
3E0P7VZ,1403,"Introduction of Hormone into Female Reproductive, Via Natural or Artificial Opening"
5123,1780,Laparoscopic cholecystectomy
8753,242,Intraoperative cholangiogram
021009W,752,"Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Open Approach"
02100Z9,2993,"Bypass Coronary Artery, One Artery from Left Internal Mammary, Open Approach"
06BQ4ZZ,1735,"Excision of Left Saphenous Vein, Percutaneous Endoscopic Approach"
5A1221Z,5467,"Performance of Cardiac Output, Continuous"
B246ZZ4,421,"Ultrasonography of Right and Left Heart, Transesophageal"
3522,389,Open and other replacement of aortic valve
3961,5062,Extracorporeal circulation auxiliary to open heart surgery
047K3ZZ,99,"Dilation of Right Femoral Artery, Percutaneous Approach"
047R3ZZ,89,"Dilation of Right Posterior Tibial Artery, Percutaneous Approach"
0HTRXZZ,9,"Resection of Toe Nail, External Approach"
0Y6X0Z0,41,"Detachment at Right 5th Toe, Complete, Open Approach"
02H633Z,3400,"Insertion of Infusion Device into Right Atrium, Percutaneous Approach"
0JH63XZ,1285,"Insertion of Tunneled Vascular Access Device into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach"
B41FYZZ,454,Fluoroscopy of Right Lower Extremity Arteries using Other Contrast
8622,1420,"Excisional debridement of wound, infection, or burn"
04CK3ZZ,68,"Extirpation of Matter from Right Femoral Artery, Percutaneous Approach"
047K34Z,30,"Dilation of Right Femoral Artery with Drug-eluting Intraluminal Device, Percutaneous Approach"
04HK3DZ,6,"Insertion of Intraluminal Device into Right Femoral Artery, Percutaneous Approach"
3E05317,271,"Introduction of Other Thrombolytic into Peripheral Artery, Percutaneous Approach"
B41FZZZ,43,Fluoroscopy of Right Lower Extremity Arteries
06PYX3Z,37,"Removal of Infusion Device from Lower Vein, External Approach"
0DQR0ZZ,101,"Repair Anal Sphincter, Open Approach"
0HRV077,155,"Replacement of Bilateral Breast using Deep Inferior Epigastric Artery Perforator Flap, Open Approach"
03U107Z,7,"Supplement Left Internal Mammary Artery with Autologous Tissue Substitute, Open Approach"
03U007Z,11,"Supplement Right Internal Mammary Artery with Autologous Tissue Substitute, Open Approach"
0HWU07Z,6,"Revision of Autologous Tissue Substitute in Left Breast, Open Approach"
7902,279,"Closed reduction of fracture without internal fixation, radius and ulna"
0UB70ZZ,269,"Excision of Bilateral Fallopian Tubes, Open Approach"
741,3671,Low cervical cesarean section
6563,529,Laparoscopic removal of both ovaries and tubes at same operative episode
6841,581,Laparoscopic total abdominal hysterectomy
8011,47,"Other arthrotomy, shoulder"
8191,1665,Arthrocentesis
8321,316,Open biopsy of soft tissue
8659,1923,Closure of skin and subcutaneous tissue of other sites
8607,522,Insertion of totally implantable vascular access device [VAD]
3931,251,Suture of artery
3220,536,Thoracoscopic excision of lesion or tissue of lung
3422,150,Mediastinoscopy
403,1183,Regional lymph node excision
3323,1107,Other bronchoscopy
4442,65,Suture of duodenal ulcer site
1733,224,Laparoscopic right hemicolectomy
5362,169,Laparoscopic incisional hernia repair with graft or prosthesis
5423,267,Biopsy of peritoneum
5421,768,Laparoscopy
02UG3JZ,215,"Supplement Mitral Valve with Synthetic Substitute, Percutaneous Approach"
B245ZZ4,10,"Ultrasonography of Left Heart, Transesophageal"
4242,50,Total esophagectomy
4639,546,Other enterostomy
7936,1631,"Open reduction of fracture with internal fixation, tibia and fibula"
7931,369,"Open reduction of fracture with internal fixation, humerus"
8363,123,Rotator cuff repair
0481,478,Injection of anesthetic into peripheral nerve for analgesia
8891,284,Magnetic resonance imaging of brain and brain stem
0DB68ZX,1513,"Excision of Stomach, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0GB34ZZ,3,"Excision of Right Adrenal Gland, Percutaneous Endoscopic Approach"
0FB13ZX,570,"Excision of Right Lobe Liver, Percutaneous Approach, Diagnostic"
07BD0ZZ,150,"Excision of Aortic Lymphatic, Open Approach"
0WBH0ZZ,80,"Excision of Retroperitoneum, Open Approach"
009U3ZX,3153,"Drainage of Spinal Canal, Percutaneous Approach, Diagnostic"
4852,50,Open abdominoperineal resection of the rectum
5369,137,Other and open repair of other hernia of anterior abdominal wall with graft or prosthesis
9977,630,Application or administration of an adhesion barrier substance
8628,1536,"Nonexcisional debridement of wound, infection or burn"
9229,1391,Other radiotherapeutic procedure
0T768DZ,277,"Dilation of Right Ureter with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0TP98DZ,141,"Removal of Intraluminal Device from Ureter, Via Natural or Artificial Opening Endoscopic"
0TJB8ZZ,671,"Inspection of Bladder, Via Natural or Artificial Opening Endoscopic"
BT1FYZZ,65,"Fluoroscopy of Left Kidney, Ureter and Bladder using Other Contrast"
BT1DYZZ,64,"Fluoroscopy of Right Kidney, Ureter and Bladder using Other Contrast"
0W9930Z,2329,"Drainage of Right Pleural Cavity with Drainage Device, Percutaneous Approach"
B548ZZA,779,"Ultrasonography of Superior Vena Cava, Guidance"
4923,14,Biopsy of anus
4523,1850,Colonoscopy
0SG1071,359,"Fusion of 2 or more Lumbar Vertebral Joints with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Open Approach"
0SB20ZZ,518,"Excision of Lumbar Vertebral Disc, Open Approach"
02PA3MZ,277,"Removal of Cardiac Lead from Heart, Percutaneous Approach"
4B02XSZ,195,"Measurement of Cardiac Pacemaker, External Approach"
0D9P00Z,14,"Drainage of Rectum with Drainage Device, Open Approach"
4881,167,Incision of perirectal tissue
03HY32Z,2512,"Insertion of Monitoring Device into Upper Artery, Percutaneous Approach"
5A1D90Z,1458,"Performance of Urinary Filtration, Continuous, Greater than 18 hours Per Day"
0JBB0ZZ,83,"Excision of Perineum Subcutaneous Tissue and Fascia, Open Approach"
0B9F8ZX,573,"Drainage of Right Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic"
07D78ZX,188,"Extraction of Thorax Lymphatic, Via Natural or Artificial Opening Endoscopic, Diagnostic"
8601,265,Aspiration of skin and subcutaneous tissue
0DB64Z3,607,"Excision of Stomach, Percutaneous Endoscopic Approach, Vertical"
0BQT4ZZ,223,"Repair Diaphragm, Percutaneous Endoscopic Approach"
0SW9XJZ,15,"Revision of Synthetic Substitute in Right Hip Joint, External Approach"
00B00ZZ,178,"Excision of Brain, Open Approach"
3995,7808,Hemodialysis
5187,2028,Endoscopic insertion of stent (tube) into bile duct
5022,189,Partial hepatectomy
5169,45,Excision of other bile duct
5137,153,Anastomosis of hepatic duct to gastrointestinal tract
4029,284,Simple excision of other lymphatic structure
1742,840,Laparoscopic robotic assisted procedure
6662,92,Salpingectomy with removal of tubal pregnancy
8872,3890,Diagnostic ultrasound of heart
4443,940,Endoscopic control of gastric or duodenal bleeding
9751,29,Removal of gastrostomy tube
9648,71,Irrigation of other indwelling urinary catheter
3321,393,Bronchoscopy through artificial stoma
311,1132,Temporary tracheostomy
4311,1442,Percutaneous [endoscopic] gastrostomy [PEG]
3404,2407,Insertion of intercostal catheter for drainage
0390,1595,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances
3322,1141,Fiber-optic bronchoscopy
3613,1071,(Aorto)coronary bypass of three coronary arteries
3521,1297,Open and other replacement of aortic valve with tissue graft
3611,688,(Aorto)coronary bypass of one coronary artery
03CM0ZZ,108,"Extirpation of Matter from Right External Carotid Artery, Open Approach"
03UH0KZ,45,"Supplement Right Common Carotid Artery with Nonautologous Tissue Substitute, Open Approach"
03UM0KZ,18,"Supplement Right External Carotid Artery with Nonautologous Tissue Substitute, Open Approach"
03CL0ZZ,199,"Extirpation of Matter from Left Internal Carotid Artery, Open Approach"
03CJ0ZZ,83,"Extirpation of Matter from Left Common Carotid Artery, Open Approach"
03CN0ZZ,94,"Extirpation of Matter from Left External Carotid Artery, Open Approach"
0W3P8ZZ,1267,"Control Bleeding in Gastrointestinal Tract, Via Natural or Artificial Opening Endoscopic"
0D568ZZ,105,"Destruction of Stomach, Via Natural or Artificial Opening Endoscopic"
0DJ07ZZ,592,"Inspection of Upper Intestinal Tract, Via Natural or Artificial Opening"
0FT44ZZ,1241,"Resection of Gallbladder, Percutaneous Endoscopic Approach"
BF10YZZ,787,Fluoroscopy of Bile Ducts using Other Contrast
7052,100,Repair of rectocele
7077,89,Vaginal suspension and fixation
5979,194,Other repair of urinary stress incontinence
5732,1626,Other cystoscopy
04CM3ZZ,35,"Extirpation of Matter from Right Popliteal Artery, Percutaneous Approach"
047M341,2,"Dilation of Right Popliteal Artery with Drug-eluting Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach"
04CR3ZZ,15,"Extirpation of Matter from Right Posterior Tibial Artery, Percutaneous Approach"
047R34Z,3,"Dilation of Right Posterior Tibial Artery with Drug-eluting Intraluminal Device, Percutaneous Approach"
5523,435,Closed [percutaneous] [needle] biopsy of kidney
021109W,1044,"Bypass Coronary Artery, Two Arteries from Aorta with Autologous Venous Tissue, Open Approach"
8051,2125,Excision of intervertebral disc
0B9G8ZX,240,"Drainage of Left Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic"
6549,159,Other unilateral salpingo-oophorectomy
6529,109,Other local excision or destruction of ovary
0UT10ZZ,57,"Resection of Left Ovary, Open Approach"
0UT90ZZ,576,"Resection of Uterus, Open Approach"
0UTC0ZZ,213,"Resection of Cervix, Open Approach"
0UT60ZZ,52,"Resection of Left Fallopian Tube, Open Approach"
07BD0ZX,103,"Excision of Aortic Lymphatic, Open Approach, Diagnostic"
0DTS0ZZ,18,"Resection of Greater Omentum, Open Approach"
0FB20ZZ,44,"Excision of Left Lobe Liver, Open Approach"
0FB10ZZ,83,"Excision of Right Lobe Liver, Open Approach"
00HU33Z,505,"Insertion of Infusion Device into Spinal Canal, Percutaneous Approach"
3E0R3CZ,51,"Introduction of Regional Anesthetic into Spinal Canal, Percutaneous Approach"
0UB90ZZ,189,"Excision of Uterus, Open Approach"
0UB10ZZ,25,"Excision of Left Ovary, Open Approach"
0UN90ZZ,65,"Release Uterus, Open Approach"
0TNB0ZZ,39,"Release Bladder, Open Approach"
4686,90,Endoscopic insertion of colonic stent(s)
06WY3JZ,100,"Revision of Synthetic Substitute in Lower Vein, Percutaneous Approach"
06L23DZ,60,"Occlusion of Gastric Vein with Intraluminal Device, Percutaneous Approach"
06C83ZZ,122,"Extirpation of Matter from Portal Vein, Percutaneous Approach"
3E03317,480,"Introduction of Other Thrombolytic into Peripheral Vein, Percutaneous Approach"
3E033TZ,25,"Introduction of Destructive Agent into Peripheral Vein, Percutaneous Approach"
06183J4,282,"Bypass Portal Vein to Hepatic Vein with Synthetic Substitute, Percutaneous Approach"
0QS604Z,255,"Reposition Right Upper Femur with Internal Fixation Device, Open Approach"
3812,559,"Endarterectomy, other vessels of head and neck"
0QSG04Z,428,"Reposition Right Tibia with Internal Fixation Device, Open Approach"
0QSGXZZ,66,"Reposition Right Tibia, External Approach"
3241,211,Thoracoscopic lobectomy of lung
4467,254,Laparoscopic procedures for creation of esophagogastric sphincteric competence
8952,6828,Electrocardiogram
8744,5748,"Routine chest x-ray, so described"
0PSL04Z,96,"Reposition Left Ulna with Internal Fixation Device, Open Approach"
02110Z9,377,"Bypass Coronary Artery, Two Arteries from Left Internal Mammary, Open Approach"
B24BZZ4,2482,"Ultrasonography of Heart with Aorta, Transesophageal"
5A1D70Z,4858,"Performance of Urinary Filtration, Intermittent, Less than 6 Hours Per Day"
5185,2985,Endoscopic sphincterotomy and papillotomy
0RG2070,63,"Fusion of 2 or more Cervical Vertebral Joints with Autologous Tissue Substitute, Anterior Approach, Anterior Column, Open Approach"
00NW0ZZ,431,"Release Cervical Spinal Cord, Open Approach"
0PB30ZZ,53,"Excision of Cervical Vertebra, Open Approach"
0RG407J,11,"Fusion of Cervicothoracic Vertebral Joint with Autologous Tissue Substitute, Posterior Approach, Anterior Column, Open Approach"
0RS10ZZ,1,"Reposition Cervical Vertebral Joint, Open Approach"
00QT0ZZ,105,"Repair Spinal Meninges, Open Approach"
3E0H76Z,1098,"Introduction of Nutritional Substance into Lower GI, Via Natural or Artificial Opening"
9914,784,Injection or infusion of immunoglobulin
6952,143,Aspiration curettage following delivery or abortion
DW021ZZ,62,Beam Radiation of Chest using Photons 1 - 10 MeV
0B9B8ZX,188,"Drainage of Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
8107,631,"Lumbar and lumbosacral fusion of the posterior column, posterior technique"
7779,1440,"Excision of bone for graft, other bones"
0309,1942,Other exploration and decompression of spinal canal
8162,2454,Fusion or refusion of 2-3 vertebrae
0084,145,"Revision of total knee replacement, tibial insert (liner)"
8154,1805,Total knee replacement
8345,493,Other myectomy
0WJP0ZZ,113,"Inspection of Gastrointestinal Tract, Open Approach"
0D9630Z,40,"Drainage of Stomach with Drainage Device, Percutaneous Approach"
0D963ZX,2,"Drainage of Stomach, Percutaneous Approach, Diagnostic"
3E0336Z,417,"Introduction of Nutritional Substance into Peripheral Vein, Percutaneous Approach"
0DH98UZ,145,"Insertion of Feeding Device into Duodenum, Via Natural or Artificial Opening Endoscopic"
0W9G3ZX,3189,"Drainage of Peritoneal Cavity, Percutaneous Approach, Diagnostic"
0W9G3ZZ,5202,"Drainage of Peritoneal Cavity, Percutaneous Approach"
5349,310,Other open umbilical herniorrhaphy
0DN80ZZ,531,"Release Small Intestine, Open Approach"
0W3F0ZZ,36,"Control Bleeding in Abdominal Wall, Open Approach"
5A1935Z,2447,"Respiratory Ventilation, Less than 24 Consecutive Hours"
06CD3ZZ,43,"Extirpation of Matter from Left Common Iliac Vein, Percutaneous Approach"
06H03DZ,457,"Insertion of Intraluminal Device into Inferior Vena Cava, Percutaneous Approach"
06CN3ZZ,32,"Extirpation of Matter from Left Femoral Vein, Percutaneous Approach"
067D3DZ,22,"Dilation of Left Common Iliac Vein with Intraluminal Device, Percutaneous Approach"
067G3DZ,14,"Dilation of Left External Iliac Vein with Intraluminal Device, Percutaneous Approach"
4516,3331,Esophagogastroduodenoscopy [EGD] with closed biopsy
4542,654,Endoscopic polypectomy of large intestine
4836,155,[Endoscopic] polypectomy of rectum
0DH63UZ,1804,"Insertion of Feeding Device into Stomach, Percutaneous Approach"
0FPB8DZ,605,"Removal of Intraluminal Device from Hepatobiliary Duct, Via Natural or Artificial Opening Endoscopic"
0F798DZ,1838,"Dilation of Common Bile Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0FB98ZX,266,"Excision of Common Bile Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic"
BF101ZZ,224,Fluoroscopy of Bile Ducts using Low Osmolar Contrast
391,206,Intra-abdominal venous shunt
3895,2666,Venous catheterization for renal dialysis
0DB78ZX,511,"Excision of Stomach, Pylorus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0DBP8ZX,664,"Excision of Rectum, Via Natural or Artificial Opening Endoscopic, Diagnostic"
9907,622,Transfusion of other serum
3E0T3GC,28,"Introduction of Other Therapeutic Substance into Peripheral Nerves and Plexi, Percutaneous Approach"
0FBG3ZX,48,"Excision of Pancreas, Percutaneous Approach, Diagnostic"
0F9G4ZZ,5,"Drainage of Pancreas, Percutaneous Endoscopic Approach"
0DH67UZ,871,"Insertion of Feeding Device into Stomach, Via Natural or Artificial Opening"
5A2204Z,1914,"Restoration of Cardiac Rhythm, Single"
02583ZZ,564,"Destruction of Conduction Mechanism, Percutaneous Approach"
02K83ZZ,413,"Map Conduction Mechanism, Percutaneous Approach"
4A0234Z,175,"Measurement of Cardiac Electrical Activity, Percutaneous Approach"
30233S1,647,"Transfusion of Nonautologous Globulin into Peripheral Vein, Percutaneous Approach"
09BX4ZZ,4,"Excision of Left Sphenoid Sinus, Percutaneous Endoscopic Approach"
09BQ4ZZ,3,"Excision of Right Maxillary Sinus, Percutaneous Endoscopic Approach"
09BV4ZZ,2,"Excision of Left Ethmoid Sinus, Percutaneous Endoscopic Approach"
09BU4ZZ,5,"Excision of Right Ethmoid Sinus, Percutaneous Endoscopic Approach"
09BR4ZZ,2,"Excision of Left Maxillary Sinus, Percutaneous Endoscopic Approach"
09BW4ZZ,4,"Excision of Right Sphenoid Sinus, Percutaneous Endoscopic Approach"
09BL4ZX,1,"Excision of Nasal Turbinate, Percutaneous Endoscopic Approach, Diagnostic"
0S9D3ZX,281,"Drainage of Left Knee Joint, Percutaneous Approach, Diagnostic"
3989,12,"Other operations on carotid body, carotid sinus and other vascular bodies"
3981,1,"Implantation or replacement of carotid sinus stimulation device, total system"
6029,422,Other transurethral prostatectomy
0DB98ZX,1045,"Excision of Duodenum, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0F9G80Z,47,"Drainage of Pancreas with Drainage Device, Via Natural or Artificial Opening Endoscopic"
387,821,Interruption of the vena cava
8851,383,Angiocardiography of venae cavae
3E033XZ,185,"Introduction of Vasopressor into Peripheral Vein, Percutaneous Approach"
02C03ZZ,210,"Extirpation of Matter from Coronary Artery, One Artery, Percutaneous Approach"
7789,213,"Other partial ostectomy, other bones"
5222,60,Other excision or destruction of lesion or tissue of pancreas or pancreatic duct
5201,40,Drainage of pancreatic cyst by catheter
4699,10,Other operations on intestines
8874,655,Diagnostic ultrasound of digestive system
04LK3DZ,10,"Occlusion of Right Femoral Artery with Intraluminal Device, Percutaneous Approach"
03LP3DZ,8,"Occlusion of Right Vertebral Artery with Intraluminal Device, Percutaneous Approach"
0BCJ8ZZ,12,"Extirpation of Matter from Left Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic"
0BCH8ZZ,2,"Extirpation of Matter from Lung Lingula, Via Natural or Artificial Opening Endoscopic"
B214YZZ,169,Fluoroscopy of Right Heart using Other Contrast
B518YZA,90,"Fluoroscopy of Superior Vena Cava using Other Contrast, Guidance"
5A1D60Z,1558,"Performance of Urinary Filtration, Multiple"
0BC78ZZ,235,"Extirpation of Matter from Left Main Bronchus, Via Natural or Artificial Opening Endoscopic"
0B968ZX,191,"Drainage of Right Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
864,150,Radical excision of skin lesion
4011,1145,Biopsy of lymphatic structure
806,72,Excision of semilunar cartilage of knee
8145,26,Other repair of the cruciate ligaments
9468,117,Combined alcohol and drug detoxification
04V03EZ,71,"Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach"
30283B1,561,"Transfusion of Nonautologous 4-Factor Prothrombin Complex Concentrate into Vein, Percutaneous Approach"
027037Z,22,"Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach"
04V03FZ,119,"Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Approach"
8E023DZ,4,"Near Infrared Spectroscopy of Circulatory System, Percutaneous Approach"
064,488,Complete thyroidectomy
0695,117,Parathyroid tissue reimplantation
8604,2139,Other incision with drainage of skin and subcutaneous tissue
00B60ZZ,29,"Excision of Cerebral Ventricle, Open Approach"
0UQMXZZ,502,"Repair Vulva, External Approach"
0UC97ZZ,157,"Extirpation of Matter from Uterus, Via Natural or Artificial Opening"
