ndc,count,drug,gsn
17714001110.0,6298.0,Aspirin EC,004381
49281001350.0,12357.0,Influenza Virus Vaccine,071215
38396055018.0,106140.0,Glucose Gel,001781
51079097220.0,10032.0,MetFORMIN (Glucophage),013318
338355248.0,147056.0,Vancomycin,043952
338500241.0,15335.0,CeftriaXONE,059424
51079025520.0,142107.0,Metoprolol Tartrate,050631
8084199.0,48717.0,Pantoprazole,027462
58177029311.0,9423.0,Metoprolol Succinate XL,047586
713013512.0,1293.0,Prochlorperazine,003844
172375810.0,13248.0,Lisinopril,000393
406717162.0,19851.0,TraMADOL (Ultram),023139
591040701.0,3807.0,Lisinopril,000390
6003121.0,2101.0,Alendronate Sodium,046941
409672924.0,227783.0,Magnesium Sulfate,016546
45006601.0,2580.0,Levofloxacin,046770
904404073.0,85060.0,Aspirin,004380
409781124.0,18953.0,MetRONIDAZOLE (FLagyl),009588
517570425.0,71457.0,Furosemide,008205
93528201.0,179.0,Ropinirole HCl,029159
66689036430.0,12189.0,Milk of Magnesia,003026
245002322.0,281.0,Lactic Acid 12% Lotion,005826
338055318.0,108041.0,NS (Mini Bag Plus),001210
60505068104.0,29912.0,CefePIME,024095
63739002401.0,27444.0,Aspirin,004376
13830304.0,3656.0,Latanoprost 0.005% Ophth. Soln.,027370
182117089.0,7392.0,Furosemide,008208
338001702.0,66704.0,D5W,001972
409433201.0,27688.0,Vancomycin,009331
300154430.0,1755.0,Lansoprazole Oral Disintegrating Tab,051654
55390014710.0,6077.0,Haloperidol,003970
10019016312.0,14932.0,Phenylephrine,005068
182853489.0,8262.0,Bisacodyl,002947
713016550.0,14081.0,Acetaminophen,004478
55390007310.0,12640.0,Metoprolol Tartrate,019808
33332000801.0,1130.0,Influenza Virus Vaccine,064182
63402051224.0,1871.0,Xopenex,041848
2445385.0,9098.0,Olanzapine (Disintegrating Tablet),045190
54162055007.0,14875.0,Sarna Lotion,023766
8290036005.0,45653.0,Heparin Flush (10 units/ml),060304
121174410.0,11428.0,Guaifenesin,000759
338004902.0,147975.0,NS,001210
310032520.0,9555.0,Meropenem,026488
64764054411.0,7273.0,Lansoprazole Oral Disintegrating Tab,051654
121065721.0,32085.0,Acetaminophen (Liquid),023196
409198530.0,109660.0,Lorazepam,003753
409176230.0,38083.0,Morphine Sulfate,004070
54858516.0,814.0,Morphine Sulfate (Oral Soln.),004087
409125830.0,15061.0,Morphine Sulfate,004072
338008504.0,80249.0,D5 1/2NS,002006
45006801.0,1101.0,Levofloxacin,029929
456066270.0,59206.0,Potassium Chloride (Powder),001262
409477702.0,15789.0,Ciprofloxacin IV,015921
182181089.0,5046.0,Ibuprofen,008349
168004631.0,8341.0,Dibucaine,007484
63323001201.0,1357.0,Oxytocin,003283
182845389.0,15462.0,Acetaminophen,004490
406051262.0,37532.0,Oxycodone-Acetaminophen,004222
54815624.0,5425.0,Codeine Sulfate,004186
182402889.0,5698.0,Ferrous Sulfate,001645
904634061.0,23290.0,Metoprolol Tartrate,050631
60258000601.0,83213.0,Neutra-Phos,063337
66685100202.0,2472.0,Amoxicillin-Clavulanic Acid,008992
378003201.0,9275.0,Metoprolol Tartrate,005132
904571135.0,2836.0,Oxymetazoline,008039
121043130.0,48230.0,Milk of Magnesia,003026
68084009901.0,6220.0,Atorvastatin,029969
68016001129.0,12024.0,Aspirin,004376
904629461.0,17844.0,Clopidogrel,038164
68084050201.0,4071.0,Pravastatin,020741
63323001302.0,17384.0,Thiamine,002446
172531110.0,5265.0,Ciprofloxacin HCl,009509
25010040515.0,5531.0,Phytonadione,002305
338004903.0,137315.0,0.9% Sodium Chloride,001210
172531210.0,9266.0,Ciprofloxacin HCl,009510
51079038620.0,21318.0,Lorazepam,003758
58177020211.0,54816.0,Potassium Chloride,022346
904054460.0,17643.0,Thiamine,002451
63481068706.0,14373.0,Lidocaine 5% Patch,043256
66591018442.0,4289.0,Multivitamin IV,002528
63323018410.0,6936.0,FoLIC Acid,002362
182050789.0,15163.0,FoLIC Acid,002366
338004304.0,42708.0,1/2 NS,001209
574200202.0,1837.0,Sodium Polystyrene Sulfonate,001195
54848616.0,19879.0,Lactulose,003067
338500341.0,4282.0,CeftriaXONE,059425
517760425.0,9363.0,Acetylcysteine 20%,000592
409779362.0,39798.0,Heparin Sodium,060301
68084020601.0,7944.0,Spironolactone,006817
409915801.0,11249.0,Phytonadione,002301
51079013120.0,1976.0,Amitriptyline,046043
60505251903.0,23200.0,Citalopram Hydrobromide,046203
51079088120.0,13303.0,Clonazepam,004560
904530661.0,34223.0,DiphenhydrAMINE,011582
338001731.0,64724.0,5% Dextrose,001972
409419701.0,2832.0,Clindamycin,009344
409128331.0,121430.0,HYDROmorphone (Dilaudid),062823
66591091332.0,4045.0,OxycoDONE Liquid,004224
641036725.0,7791.0,Dexamethasone,006776
172438210.0,19933.0,Gabapentin,021414
173068254.0,9086.0,Albuterol Inhaler,028090
591083960.0,4447.0,BuPROPion (Sustained Release),046238
904399161.0,6596.0,traZODONE,046242
172567310.0,5272.0,Sertraline,046228
49884078253.0,3752.0,Tizanidine,027447
51079045620.0,19989.0,Simvastatin,016579
338008904.0,14674.0,D5NS,002001
33332001201.0,11947.0,Influenza Virus Vaccine,069637
409665305.0,53846.0,Potassium Chloride,001255
409739172.0,15309.0,Sodium Phosphate,001233
904586761.0,5224.0,Sertraline,046228
32909071503.0,11927.0,Readi-Cat 2 (Barium Sulfate 2% Suspension),019661
63824000840.0,2516.0,Guaifenesin ER,000762
51079054220.0,15473.0,Prochlorperazine,003846
51079052420.0,22755.0,Ondansetron,016392
54839224.0,36398.0,HYDROmorphone (Dilaudid),004110
641608025.0,31850.0,Ondansetron,061716
8092355.0,39845.0,Pantoprazole,047635
904598061.0,22939.0,Lorazepam,003757
68084027801.0,2949.0,Azithromycin,026721
68084008901.0,8592.0,Lorazepam,003758
17270072101.0,8325.0,Albuterol Inhaler,005037
338519741.0,29815.0,Famotidine,021732
78112001103.0,1707.0,Chloraseptic Throat Spray,016026
172567410.0,723.0,Sertraline,046229
338268975.0,5344.0,Morphine Sulfate,004067
641049125.0,4754.0,Prochlorperazine,003837
51079096620.0,23502.0,Famotidine,011677
11509021217.0,1826.0,Cepacol (Menthol),058921
63481062375.0,11520.0,Oxycodone-Acetaminophen,004222
409665106.0,15357.0,Potassium Chloride,001255
338004938.0,133575.0,0.9% Sodium Chloride,001210
781345295.0,12107.0,CefazoLIN,009066
173017755.0,1078.0,BuPROPion,046236
51079045420.0,26430.0,Simvastatin,016577
904683006.0,2659.0,Finasteride,041440
904679861.0,5196.0,Lisinopril,000390
904637061.0,4340.0,amLODIPine,016926
904677361.0,60623.0,Acetaminophen,004489
904655161.0,8921.0,Ondansetron,016392
69784018001.0,22998.0,Polyethylene Glycol,034313
904640161.0,19411.0,Tamsulosin,027546
904629161.0,5207.0,Atorvastatin,029968
63739047810.0,3949.0,Docusate Sodium,003009
2751001.0,223404.0,Insulin,027413
64764080530.0,9112.0,Ramelteon,059509
62584098801.0,3089.0,Allopurinol,002535
51079021103.0,5678.0,Atorvastatin,045772
68084078301.0,4593.0,Gabapentin,021413
409610204.0,58693.0,Furosemide,008205
904198261.0,70082.0,Acetaminophen,004489
51079093120.0,14015.0,Carvedilol,022233
904628889.0,12706.0,Aspirin,004380
597026010.0,53343.0,Glucagon,066517
88222033.0,222789.0,Insulin,047780
93065801.0,906.0,Calcitriol,002185
2871501.0,13792.0,Insulin,016311
487020101.0,31188.0,Ipratropium-Albuterol Neb,048018
10370067801.0,202.0,NIFEdipine (Extended Release),012060
68084053901.0,17012.0,Torsemide,021408
904582460.0,18675.0,Vitamin D,028465
904526161.0,30693.0,Ranitidine,011673
904580961.0,8238.0,Lisinopril,000391
2831501.0,39855.0,Insulin,001740
67767015101.0,1164.0,NIFEdipine CR,012060
71015892.0,18819.0,Atorvastatin,045772
36000028325.0,22825.0,Furosemide,008205
49999002812.0,11938.0,PredniSONE,006749
51079020520.0,13122.0,Allopurinol,002535
245005301.0,17476.0,Ferrous Sulfate,011832
57896045208.0,15585.0,Senna,002922
56017275.0,46896.0,Warfarin,006562
93527201.0,3160.0,NIFEdipine CR,012059
264958720.0,65928.0,Heparin Sodium,060301
56017075.0,39096.0,Warfarin,006561
56016975.0,51558.0,Warfarin,014198
904623561.0,9816.0,Pantoprazole,027462
8092360.0,9215.0,Pantoprazole,047635
66758016013.0,96279.0,Potassium Chloride,001275
63739035410.0,29141.0,Magnesium Oxide,001408
68084007965.0,7283.0,Gabapentin,021413
71041724.0,5256.0,Nitroglycerin SL,000474
49281041550.0,13072.0,Influenza Vaccine Quadrivalent,074020
4196401.0,5364.0,CeftriaXONE,009162
58468013001.0,8686.0,sevelamer CARBONATE,063473
182116189.0,15077.0,Furosemide,008209
51079045820.0,7482.0,Pravastatin,016367
45963043963.0,3416.0,Lactulose,029054
63653117103.0,20697.0,Clopidogrel,038164
50458016601.0,2080.0,Levofloxacin,046770
50383068304.0,2999.0,Multivitamins,002522
338001704.0,59352.0,5% Dextrose,001972
409662502.0,26583.0,Sodium Bicarbonate,001185
17478093401.0,16907.0,HydrALAzine,000283
378087199.0,660.0,Clonidine Patch 0.1 mg/24 hr,000343
904777261.0,13323.0,Metoprolol Tartrate,005132
68462014645.0,952.0,Nitroglycerin SL,000475
517570225.0,22193.0,Furosemide,008205
603385521.0,20809.0,Hydrochlorothiazide,029832
904580861.0,6279.0,Lisinopril,000390
51079029920.0,9033.0,CloniDINE,000346
51079098320.0,10474.0,Lisinopril,000391
74227913.0,253.0,Trandolapril,026377
51079068420.0,9782.0,Atenolol,005139
76439034310.0,44161.0,Potassium Chloride,001262
50458093010.0,4380.0,Levofloxacin,046771
456201063.0,2517.0,Escitalopram Oxalate,050712
409117830.0,5255.0,Meperidine,059794
74434113.0,6069.0,Levothyroxine Sodium,006648
54569041702.0,756.0,DiCYCLOmine,004918
93521193.0,24379.0,Omeprazole,033530
409117630.0,2170.0,Meperidine,059793
74518211.0,10987.0,Levothyroxine Sodium,006650
59762501601.0,1092.0,Fluconazole,013723
172541310.0,5746.0,Fluconazole,013724
338050941.0,2173.0,Gentamicin,009291
472030680.0,962.0,Triamcinolone Acetonide 0.1% Ointment,007597
51672126302.0,309.0,Nystatin Cream,048529
121048910.0,7189.0,DiphenhydrAMINE,011592
45064165.0,2261.0,Topiramate (Topamax),026170
51079078820.0,4081.0,ALPRAZolam,003773
8083303.0,4601.0,Venlafaxin,046404
54408425.0,1513.0,Azathioprine,011682
11509021265.0,4657.0,Cepacol (Menthol),058921
54092018981.0,1179.0,Mesalamine,019863
51079011820.0,1637.0,DiCYCLOmine,004918
33332001001.0,13122.0,Influenza Virus Vaccine,066525
173069700.0,2014.0,Fluticasone-Salmeterol Diskus (500/50) ,043368
63323047401.0,20842.0,Haloperidol,003970
10019017644.0,16878.0,Morphine Sulfate,004080
143148001.0,62.0,Propylthiouracil,006673
168001135.0,2245.0,Bacitracin Ointment,023143
65649023141.0,460.0,Azathioprine,051793
517090125.0,11557.0,HydrALAzine,000283
51079089520.0,2298.0,Promethazine,003878
338080304.0,3501.0,Potassium Chl 20 mEq / 1000 mL D5NS,011988
51079079001.0,1569.0,Alprazolam,003775
143989701.0,5893.0,Cephalexin,009043
173069604.0,12710.0,Fluticasone-Salmeterol Diskus (250/50) ,043367
781320995.0,1956.0,CeftriaXONE,009164
68084033701.0,4119.0,LeVETiracetam,044633
63323040009.0,1780.0,LeVETiracetam,061005
63323050830.0,5723.0,Meropenem,026489
409427601.0,10200.0,Lidocaine 1%,003404
51079012620.0,12319.0,MetRONIDAZOLE (FLagyl),009592
409471332.0,12319.0,Lidocaine 1%,060671
50242004413.0,12873.0,Alteplase (Catheter Clearance),006508
50474059540.0,10051.0,LeVETiracetam,044633
6384371.0,1910.0,*NF* Ertapenem Sodium,049835
66689040150.0,14309.0,OxycoDONE (Immediate Release) ,004224
54022463.0,3935.0,LeVETiracetam,053031
802396216.0,684.0,Sodium Citrate,043910
61553074004.0,3068.0,Oxytocin,058554
904585461.0,30337.0,Ibuprofen,008349
49281040015.0,6733.0,Tetanus-DiphTox-Acellular Pertuss (Adacel),063901
363069338.0,6249.0,Magnesium Citrate,003025
206886202.0,37465.0,Piperacillin-Tazobactam Na,040819
54864816.0,4155.0,OxycoDONE-Acetaminophen Elixir,004221
409405201.0,1181.0,Clindamycin,009344
54327099.0,10762.0,Fluticasone Propionate NASAL,018368
703095803.0,415.0,Ciprofloxacin,057824
904107061.0,2554.0,Metoclopramide,005231
409131230.0,43795.0,HYDROmorphone (Dilaudid),004103
51079060520.0,1158.0,Cephalexin,009043
409116202.0,1210.0,Bupivacaine 0.5%,052194
63323016201.0,3938.0,Ketorolac,039500
55045141500.0,17.0,Cephalexin,009046
10631040701.0,648.0,Hydrocortisone (Rectal) 2.5% Cream,016965
338101948.0,2040.0,Nafcillin,031535
63323002101.0,97.0,HydrOXYzine,003723
93730165.0,6354.0,Ondansetron ODT,041562
74300000068.0,99.0,Desitin,048743
51079041720.0,22709.0,Lorazepam,003757
33332001101.0,11790.0,Influenza Virus Vaccine,067572
52268010001.0,2125.0,Golytely,062533
10939033733.0,5699.0,Fish Oil (Omega 3),006422
904553561.0,1745.0,Naproxen,008360
10019002902.0,5854.0,Ketorolac,039499
42292003920.0,1578.0,Levothyroxine Sodium,006652
904682076.0,27111.0,Acetaminophen,065758
641040012.0,39135.0,Heparin,006549
60687012901.0,10386.0,Docusate Sodium,003009
68084034701.0,13149.0,Losartan Potassium,023382
63323010605.0,42585.0,Magnesium Sulfate,063340
49281012188.0,5511.0,Influenza Vaccine High-Dose Quadrivalent,082214
68084009701.0,4784.0,Atorvastatin,029967
904600761.0,17425.0,LORazepam,003757
51079044420.0,2108.0,Levothyroxine Sodium,006648
68084012801.0,14130.0,Omeprazole,033530
36000001225.0,30922.0,Ondansetron,061716
143985725.0,8870.0,CefTRIAXone,009162
338105548.0,22536.0,MetroNIDAZOLE,009588
409379301.0,14204.0,Ketorolac,039499
63824071298.0,853.0,Cepacol (Sore Throat Lozenge),067735
61553018348.0,4010.0,Morphine Sulfate,048193
6494300.0,29601.0,PNEUMOcoccal 23-valent polysaccharide vaccine,048548
536242558.0,5491.0,Chloraseptic Throat Spray,016026
641607825.0,48414.0,Ondansetron,061716
75062040.0,11625.0,Enoxaparin Sodium,039482
51079034820.0,1798.0,Nitrofurantoin Monohyd (MacroBID),016598
74707090.0,1727.0,Levothyroxine Sodium,006655
264310511.0,24417.0,CeFAZolin,068632
591219101.0,19224.0,Ramelteon,059509
60505613005.0,8369.0,Ondansetron,061716
904629061.0,2355.0,Atorvastatin,029967
19515090641.0,11687.0,Influenza Vaccine Quadrivalent,079654
63323056887.0,9076.0,Enoxaparin (Prophylaxis),039482
44567024110.0,11011.0,CefePIME,024095
44567024010.0,6293.0,CefePIME,024094
338358048.0,14935.0,Vancomycin,067111
487950101.0,19354.0,Albuterol 0.083% Neb Soln,005039
49281041688.0,25132.0,Influenza Vaccine Quadrivalent,075715
781340495.0,690.0,Ampicillin Sodium,008932
75062300.0,2713.0,Enoxaparin Sodium,027995
50383077933.0,20908.0,Lactulose,068217
60505075304.0,2238.0,CefTRIAXone,009164
76329301205.0,11442.0,Lidocaine Jelly 2% (Urojet),038861
75062430.0,5537.0,Enoxaparin Sodium,019331
75062280.0,4445.0,Enoxaparin Sodium,027994
42292000120.0,4587.0,MetroNIDAZOLE,009592
63323049289.0,10758.0,Lidocaine 1% (For PICC/Midline Insertions),060671
74706811.0,5450.0,Levothyroxine Sodium,006653
591352530.0,36393.0,Lidocaine 5% Patch,043256
63739035810.0,20660.0,Omeprazole,033530
8290306525.0,18723.0,Heparin Flush (10 units/ml),060304
63323064907.0,4034.0,Levothyroxine Sodium,068196
50242004164.0,14810.0,Alteplase (Catheter Clearance),048447
68084007001.0,24594.0,Ciprofloxacin HCl,009510
338004911.0,15607.0,0.9% Sodium Chloride,001210
781340795.0,217.0,Ampicillin Sodium,008937
409471302.0,7033.0,Lidocaine 1% (For PICC/Midline Insertions),060671
8290306510.0,16566.0,Heparin Flush (10 units/ml),060304
25021012720.0,1117.0,CefTAZidime,009171
50268085415.0,8799.0,Cyanocobalamin,002341
206886002.0,5504.0,Piperacillin-Tazobactam,040817
44567023525.0,1582.0,CefTAZidime,009171
57896042101.0,12938.0,Docusate Sodium,003020
603155404.0,42493.0,Potassium Chloride,001262
60687040677.0,3346.0,OxyCODONE (Immediate Release),004224
23455430.0,2217.0,Artificial Tears GEL 1%,062795
338004931.0,30001.0,0.9% Sodium Chloride,001210
70710134401.0,8729.0,Ramelteon,059509
904673061.0,72790.0,Acetaminophen,004490
574705012.0,21894.0,Bisacodyl,002944
93342501.0,3693.0,LORazepam,003757
409272301.0,4574.0,Heparin,006549
904640761.0,22602.0,Bisacodyl,002947
70436002182.0,555.0,Vancomycin,009328
173068220.0,15637.0,Albuterol Inhaler,028090
904699880.0,4386.0,Docusate Sodium,003009
121127600.0,3466.0,GuaiFENesin-Dextromethorphan,016414
68084034601.0,3860.0,Losartan Potassium,023381
904655304.0,1567.0,Linezolid,045131
641040025.0,1212.0,Heparin,006549
58160087346.0,3735.0,Influenza Virus Vaccine,061242
67033062.0,2680.0,Aluminum-Magnesium Hydrox.-Simethicone,002716
52604510001.0,30.0,Levoxyl,006651
406206890.0,100.0,Simvastatin,016579
58177032304.0,6264.0,Nitroglycerin SL,000474
63739008901.0,915.0,Docusate Sodium,003009
74455211.0,10318.0,Levothyroxine Sodium,006649
338055002.0,14456.0,Heparin Sodium,006522
904504561.0,7133.0,Captopril,000379
904578561.0,3121.0,Fluoxetine,046214
63739027201.0,17786.0,Aspirin EC,016995
904592161.0,2001.0,Digoxin,000018
64764080510.0,6127.0,Ramelteon,059509
51079075920.0,15380.0,Atenolol,015864
904642281.0,34091.0,Polyethylene Glycol,034313
17478093415.0,5377.0,HydrALAZINE,000283
3089331.0,6651.0,Apixaban,067642
76329330101.0,19152.0,Dextrose 50%,001989
57896079101.0,3323.0,Simethicone,002821
904629261.0,15138.0,Atorvastatin,029969
517003125.0,2188.0,Cyanocobalamin,002329
68084048211.0,324.0,LevoFLOXacin,029928
517420125.0,220.0,HydrOXYzine,003723
62584074601.0,5178.0,Ibuprofen,008348
409379501.0,13653.0,Ketorolac,039500
115132801.0,207.0,adde,050428
49502050002.0,2390.0,Epinephrine 1:1000,016879
591557101.0,87.0,Trimethoprim,009497
24090047188.0,499.0,Propranolol LA,005116
51079002320.0,3275.0,Metolazone,008217
50111030801.0,4703.0,HydrOXYzine,003728
63323025803.0,3568.0,MethylPREDNISolone Sodium Succ,006730
51079027920.0,917.0,Propranolol,005125
51079098020.0,6072.0,Spironolactone,006816
51079060420.0,1158.0,Cephalexin,009042
186502228.0,381.0,NexIUM,047525
54162060002.0,2057.0,Hydrocerin,005349
904647461.0,21720.0,Pantoprazole,027462
904634161.0,5127.0,Metoprolol Tartrate,005132
59762492101.0,2621.0,Nitroglycerin SL,000474
63739012810.0,2808.0,Hydrochlorothiazide,008182
338070341.0,108776.0,Potassium Chloride,045309
76045000905.0,37911.0,HYDROmorphone (Dilaudid),071025
51079005120.0,11851.0,Pantoprazole,027462
60505614704.0,10426.0,CefePIME,024095
63323049257.0,11624.0,Lidocaine 1% (For PICC/Midline Insertions),060675
16729029512.0,384.0,CARBOplatin,038450
409672923.0,67677.0,Magnesium Sulfate,063347
143938401.0,529.0,Fosaprepitant,066837
409475901.0,772.0,Ondansetron,015869
63323051610.0,2911.0,Dexamethasone Sod Phos,006776
63323053190.0,1417.0,Enoxaparin (Treatment),027994
50268068515.0,2667.0,Prochlorperazine,003846
574027511.0,68726.0,Potassium Chloride Replacement (Critical Care and Oncology) ,001275
63323048257.0,309.0,"Lidocaine 1%/Epinephrine 1:100,000",003388
61553011841.0,24491.0,Fentanyl Citrate,048287
904632361.0,6323.0,Metoprolol Succinate XL,016599
63323026965.0,39006.0,Propofol,016796
8290306414.0,12556.0,Heparin Flush (10 units/ml),060304
64679075903.0,6028.0,Furosemide,008205
143966010.0,6137.0,Metoprolol Tartrate,019808
54817525.0,16768.0,Dexamethasone,006789
70004080640.0,3474.0,PHENYLEPHrine,074949
904632261.0,11384.0,Metoprolol Succinate XL,047586
173069504.0,3693.0,Fluticasone-Salmeterol Diskus (100/50),043366
16729011408.0,124.0,Etoposide,008841
67457065810.0,818.0,Esmolol,052014
70436001982.0,1271.0,Azithromycin ,031452
42023016410.0,2268.0,Vasopressin,073081
536100836.0,29722.0,Aspirin,004380
24201010024.0,10991.0,Acetaminophen IV,066887
2751017.0,103340.0,Insulin,027413
904657261.0,2067.0,Allopurinol,002536
51079028420.0,4361.0,Diazepam,003767
430075327.0,524.0,Mesalamine DR,070543
53489036801.0,952.0,Felodipine,021743
456321063.0,673.0,MEMAntine,032492
56017675.0,26600.0,Warfarin,006560
4026449.0,3984.0,Torsemide,021408
781155613.0,3666.0,Isosorbide Dinitrate,000507
4026249.0,2226.0,Torsemide,021406
51079081020.0,2730.0,GlipiZIDE,001777
71036940.0,3709.0,Phenytoin Sodium Extended,004521
51079081120.0,1244.0,GlipiZIDE,001776
169008181.0,328.0,Repaglinide,038906
172376010.0,12087.0,Lisinopril,000391
67781025101.0,30.0,Theophylline ER (Uniphyl),024535
63739007910.0,9626.0,Diltiazem,000574
6011728.0,4176.0,Montelukast Sodium,038451
58177023811.0,3128.0,Isosorbide Mononitrate (Extended Release),017297
258368890.0,3341.0,Diltiazem Extended-Release,024537
59762306003.0,6407.0,Azithromycin,026721
597001314.0,4394.0,Albuterol-Ipratropium,029123
54001920.0,7659.0,PredniSONE,006754
4080085.0,2854.0,Oseltamivir,043706
51991045757.0,13303.0,Polyethylene Glycol,041843
62175011937.0,2768.0,Isosorbide Mononitrate (Extended Release),017297
173069704.0,4779.0,Fluticasone-Salmeterol Diskus (500/50) ,043368
54023755.0,2686.0,Morphine Sulfate (Oral Solution) 2 mg/mL,004087
54569452202.0,6008.0,Azithromycin,026721
54001720.0,14778.0,PredniSONE,006749
61314001910.0,1268.0,Dorzolamide 2% Ophth. Soln.,023513
60505082901.0,13107.0,Fluticasone Propionate NASAL,018368
63739049910.0,8262.0,LORazepam,003757
258368790.0,4621.0,Diltiazem Extended-Release,024536
904635361.0,5478.0,Levofloxacin,046771
68094020462.0,11525.0,Ranitidine,011672
904386575.0,8717.0,Sodium Chloride Nasal,008084
3089431.0,19658.0,Apixaban,070414
61314054701.0,7024.0,Latanoprost 0.005% Ophth. Soln.,027370
904588861.0,115.0,Theophylline SR,000091
9004722.0,5103.0,MethylPREDNISolone Sodium Succ,065978
53746027101.0,12551.0,Sulfameth/Trimethoprim SS,009395
50111048303.0,270.0,Theophylline SR,000090
258368990.0,1358.0,Diltiazem Extended-Release,024538
67512414.0,742.0,Nicotine Patch,016425
517083001.0,3072.0,Latanoprost 0.005% Ophth. Soln.,027370
904504260.0,7682.0,Multivitamins W/minerals,002511
49452521001.0,3463.0,Cepastat (Phenol) Lozenge,063824
24208091019.0,2982.0,Erythromycin 0.5% Ophth Oint,007948
23050601.0,16769.0,Artificial Tears Preserv. Free,030016
121177510.0,2719.0,Guaifenesin-CODEINE Phosphate,045669
68084056401.0,2138.0,Atorvastatin,029967
61553094102.0,1837.0,Heparin Sodium,069699
51079090620.0,15161.0,Amiodarone,000266
50458057910.0,5080.0,Rivaroxaban,068119
409117101.0,1317.0,Diltiazem,016424
378699789.0,3663.0,Sodium Chloride 3% Inhalation Soln,000588
54872425.0,16284.0,PredniSONE,006753
66685100101.0,6267.0,Amoxicillin-Clavulanic Acid,024668
54569523500.0,23034.0,Chlorhexidine Gluconate 0.12% Oral Rinse,057959
